dt,sigma_x,sigma_y,sigma_z,z
9.999999999999999e-05,67.0512427363929,215.00836523112872,0.034884434126835936,50
0.0005,373.32225698088536,70.62113197999882,0.029741368764039308,50
0.001,200.16524491472273,157.0695033989261,0.01520025993356423,50
0.01,3860.8103030759694,11952.445473141552,5.593362836963736,50
9.999999999999999e-05,1965.473983504366,3161.9167657661847,0.43501387490012694,100
0.0005,1827.0198337335796,2661.0048020006884,0.12095232296039848,100
0.001,4069.346164856515,2722.0439729663085,0.17703018686643282,100
0.01,2893.6621841099704,50233.8777408873,6.180495997787143,100
9.999999999999999e-05,36456.075906742175,80676.88788490758,2.322264131588723,300
0.0005,19577.265403414323,297393.5891037455,8.241956854104226,300
0.001,164519.39386384096,74455.6690539772,3.299395028819469,300
0.01,102594.48080412866,375605.34772672236,27.367073954529488,300
9.999999999999999e-05,359687.92882435635,285933.91079487954,7.450830445576001,500
0.0005,272895.0854898271,834614.3536623189,9.437695916855784,500
0.001,1298703.067484896,875062.1292809033,16.140874411010486,500
0.01,1607820.8167984043,785930.7667311794,110.2703625464141,500
