dt,sigma_x,sigma_y,sigma_z,z
9.999999999999999e-05,3240.5630065603823,3248.18968662733,9999.696937793147,50
0.0005,4207.447445997895,4243.899811768406,9999.461890196111,50
0.001,4310.47385187246,4305.782498479705,9999.388986388998,50
0.005,4455.468827372802,4428.382859424104,9999.407427792732,50
0.01,2530.1675786058468,2790.321921699021,9999.721395977345,50
0.09999999999999999,443.65659394277253,560.199457514374,9999.952048644936,50
0.5,133.32135765326257,146.6905706411767,9999.999064598218,50
1.0,124.647582549152,42.87357349340581,9999.997063736299,50
9.999999999999999e-05,4227.865448246913,4228.597014973468,9999.976702153745,75
0.0005,4777.462753442124,4790.6502540341025,9999.940716725872,75
0.001,5107.387570120649,5126.162987636705,9999.926947980071,75
0.005,4926.849766504328,4945.12767115474,9999.910882583968,75
0.01,4482.350894029789,4839.051625945271,9999.903734903111,75
0.09999999999999999,1444.2411913936437,791.1309062728359,9999.983759959085,75
0.5,361.3867157311413,166.3589433332033,9999.999082598,75
1.0,482.39874278997314,101.3626172820715,9999.999969234163,75
9.999999999999999e-05,4730.866279681997,4729.87239008605,9999.996562857428,100
0.0005,4924.854503698246,4925.558586746803,9999.990403788759,100
0.001,4953.299845272148,4969.591852319916,9999.987342589122,100
0.005,4973.834371401909,4985.133729359876,9999.983644980452,100
0.01,4981.156031263364,5051.108516414946,9999.98273104901,100
0.09999999999999999,3982.037001729295,4413.790620211478,9999.987654096733,100
0.5,486.666938888792,1685.827537682697,9999.990195130462,100
1.0,83.46759127461368,489.97948405492514,9999.99987864765,100
9.999999999999999e-05,4935.041031409188,4932.9728596396935,9999.99926160797,125
0.0005,4953.264486656359,4960.61322926449,9999.99784935186,125
0.001,4996.873833723894,4986.260691902076,9999.997138391824,125
0.005,4998.658073371011,5017.657798526476,9999.996073602031,125
0.01,5017.115544498766,4990.631597618038,9999.9961104801,125
0.09999999999999999,3847.6492616604987,5393.970223560519,9999.995992421327,125
0.5,4312.001898326445,5548.848295308003,9999.994061892776,125
1.0,367.67827348157493,1979.3923639791585,9999.999392258238,125
9.999999999999999e-05,5057.199085164843,5057.270157029241,9999.999795531372,150
0.0005,5011.481889401732,5003.562866998056,9999.999404079883,150
0.001,5008.723955613498,5022.528152666942,9999.999192178158,150
0.005,5001.922260295529,5021.351481148088,9999.998856881992,150
0.01,5038.215977422803,4961.644600632638,9999.998802610144,150
0.09999999999999999,3054.709396584096,4725.44236162772,9999.999231021484,150
0.5,4694.576035523833,4940.321022079563,9999.999782151515,150
1.0,804.7203671052569,1786.7009078405572,9999.998455432458,150
9.999999999999999e-05,5229.301406498199,5227.162673763499,9999.999939137933,175
0.0005,5057.092785549904,5056.015823945344,9999.999805841833,175
0.001,5046.105582347785,5043.964882769071,9999.999734610332,175
0.005,4910.214993190662,5143.437459316594,9999.999617054445,175
0.01,5021.406275632942,5029.154298051765,9999.999598795128,175
0.09999999999999999,5141.752248429493,4888.564998778379,9999.999562850538,175
0.5,2058.7276102179967,2057.403810436942,9999.999868314157,175
1.0,1577.6185512580578,1555.2504340760247,9999.999944424606,175
9.999999999999999e-05,5488.937155462649,5488.937679640513,9999.999987921035,200
0.0005,5134.043519669361,5157.2161068448695,9999.999934284602,200
0.001,5088.40904379732,5110.064174390091,9999.999906476822,200
0.005,5091.958490048622,5044.135901073935,9999.999863848096,200
0.01,5045.505674065296,5071.016344591804,9999.999853006737,200
0.09999999999999999,4995.279848014307,5018.203664962225,9999.999856380764,200
0.5,2599.132647451688,4134.339766086999,9999.99998649954,200
1.0,4076.6027741828243,653.1335742992326,10000.000018028966,200
9.999999999999999e-05,5808.782451546943,5808.553998464286,10000.00000682748,225
0.0005,5303.990868326483,5305.660301490774,9999.99998314568,225
0.001,5213.903946647295,5212.85068852948,9999.999970395402,225
0.005,5130.801617667406,5144.193836800772,9999.9999501228,225
0.01,5136.949572196472,5119.659891591371,9999.999947055829,225
0.09999999999999999,5058.9627550367,5178.885887808322,9999.999931031281,225
0.5,927.2758911779463,5696.713907018894,9999.999712285993,225
1.0,7183.1310358415,1173.852623887803,9999.999885879915,225
9.999999999999999e-05,6130.402390435954,6131.130803109447,10000.000015297457,250
0.0005,5525.72687354119,5526.977348929931,10000.000004314357,250
0.001,5398.214998308669,5382.361149395138,9999.9999981431,250
0.005,5248.644627761606,5279.1113357595295,9999.99998809095,250
0.01,5277.612211787895,5215.072786636316,9999.999986155499,250
0.09999999999999999,5828.566088469315,4456.722624963345,9999.999960490031,250
0.5,5115.114244470712,5339.550429961299,9999.999981437719,250
1.0,4338.051368300283,3759.570610819525,10000.000016858248,250
9.999999999999999e-05,6404.6544527940705,6404.987946104242,10000.000019624622,275
0.0005,5789.681804389539,5782.151287272983,10000.000014283758,275
0.001,5616.102763723189,5615.752969157521,10000.000011186894,275
0.005,5457.324840128324,5428.450824590363,10000.000006048545,275
0.01,5411.260435176057,5425.870254490401,10000.000005206539,275
0.09999999999999999,5511.655888601947,5274.0095298251235,10000.00000369065,275
0.5,2132.6780724286314,6340.645799225719,9999.99997625196,275
1.0,5169.026038990316,5694.3610407334045,9999.999992311876,275
9.999999999999999e-05,6606.615174109943,6605.286277105238,10000.000022094455,300
0.0005,6057.846152828962,6045.9871120682365,10000.000019348992,300
0.001,5867.6366031422895,5863.582019101225,10000.000017724184,300
0.005,5659.489089655935,5660.332484198745,10000.000014963041,300
0.01,5649.288950992957,5609.943774838622,10000.000014478983,300
0.09999999999999999,5846.876613102353,5345.653819959958,10000.000013231844,300
0.5,7249.7242994470835,3170.6884353714977,10000.000025561332,300
1.0,2755.3175426304147,7372.054157344544,10000.00002492314,300
9.999999999999999e-05,6754.889279787946,6754.821641515407,10000.000023705925,325
0.0005,6296.556105965812,6287.216367974515,10000.00002222564,325
0.001,6112.445333916811,6111.543055351383,10000.000021342303,325
0.005,5905.600450555717,5882.449541441845,10000.000019916279,325
0.01,5883.720531301595,5835.460930059049,10000.000019531066,325
0.09999999999999999,5588.277636203438,6048.162415189106,10000.000018273595,325
0.5,4069.825445324255,6698.165475238322,9999.999995141914,325
1.0,7983.61650290099,2774.641979503939,10000.000012688757,325
9.999999999999999e-05,6855.692927087655,6855.844546128086,10000.000024811427,350
0.0005,6494.649690326397,6487.458524034995,10000.00002398178,350
0.001,6334.502662664209,6327.27096870353,10000.000023493609,350
0.005,6118.0801202392795,6124.646293766807,10000.000022623912,350
0.01,6087.424703269684,6084.985661722048,10000.00002231223,350
0.09999999999999999,4845.505020432088,7031.105865473523,10000.000024500088,350
0.5,6620.44696247973,5520.947572425045,10000.000017619228,350
1.0,6006.962119208514,6322.93487569063,10000.000024497167,350
9.999999999999999e-05,6922.8570219346475,6923.227888202639,10000.000025651027,375
0.0005,6639.069413086156,6638.136866768708,10000.000025163685,375
0.001,6516.3034873254965,6506.49285160535,10000.000024866173,375
0.005,6285.868113621011,6362.6300995881,10000.000024356787,375
0.01,6295.931178401155,6288.54816549383,10000.00002429544,375
0.09999999999999999,6099.172318889551,6416.376968718592,10000.000024159555,375
0.5,7987.98399447871,4266.204950989003,10000.000011282998,375
1.0,4349.609786429295,7894.331824437775,10000.000025924253,375
9.999999999999999e-05,6968.481349281166,6967.255784812412,10000.000026276472,400
